ID,T<sub>off</sub>,tau off unnormalized,1AP ∆Ffast normalized,1AP ∆Ffast unnormalized,1AP ∆F/F0 normalized,1AP ∆F/F0 unnormalized,20AP ∆F/F0,20AP ∆F/F0 unnormalized 
1561,1.219374438,0.691164305,0.622032331,10.27067085,1.643171112,10.46733079,0.720289297,162.4778908
8697,3.375616584,0.856579214,1.927567401,11.79143808,2.462958998,7.823211605,2.69111146,162.3011738
6411,3.779925121,1.09234501,2.026467902,32.25855667,1.942182221,7.80848276,0.917414923,152.7937469
4146,0.899789481,1.568882236,0.751752663,5.841593392,0.768516822,10.24575235,0.979334448,29.87885423
208,1.135772865,0.288750683,0.704205743,10.18058862,1.538608013,10.08314966,0.599125151,200.840859
282,1.78866555,0.44613577,0.472905221,9.586112129,1.708827616,9.721032798,2.978568277,698.7367117
271,2.393605084,0.597022092,0.737654432,19.37362789,1.362163628,7.748960273,1.670690381,611.5268485
8712,2.964188751,0.777452264,1.375242447,8.412720694,2.085495992,7.613745931,1.605361543,96.81949881
6404,2.886014412,0.756042325,1.352098797,39.2058826,1.7628877,7.587841153,0.845339347,104.0088921
3986,1.133348069,0.642402945,0.85193785,6.426635175,1.476307375,9.404375192,0.809899217,76.6915327
6423,3.766570145,1.033877854,1.095091046,15.14667267,2.115554702,7.56809164,1.043041522,55.94097474
9250,3.479910191,1.139257952,1.005232054,8.241225782,2.080164192,7.545889507,1.732697247,81.06072063
512,1.768429033,0.441088301,1.016797167,12.9777358,1.643844036,9.351359754,2.148417551,503.7236552
258,1.558372735,0.38869526,0.788890094,14.21681676,1.605595631,9.133775486,3.21315893,291.7602358
6040,1.236362017,0.25530367,0.65061422,8.964811444,1.796669428,9.086015187,0.88889746,37.06775031
3976,1.527019906,0.450236673,1.046485284,15.20049134,1.300664521,8.998808411,0.765829691,74.86430486
6395,3.488575021,0.913893693,0.796528049,23.09637819,1.74198164,7.497857053,0.761098963,93.64412085
6391,3.502371443,0.583244129,1.313246591,11.51632064,1.729051491,7.423007289,1.407134166,150.4668127
3545,0.721967862,1.258830623,1.170017879,7.622963195,0.651407434,8.684467347,0.661928407,43.58970684
6411,2.955027788,1.106880458,1.561975409,25.915514,1.388437554,7.407348834,0.917414923,152.7937469
8697,3.822513328,1.009186651,2.419301958,16.36809108,2.584136808,7.365889395,2.69111146,162.3011738
4439,2.022734639,0.778796082,1.954051474,18.83652047,1.074095031,7.264005099,1.976747692,159.7354961
8351,4.452414053,1.028277468,1.885605213,20.80115974,1.731463975,7.253835599,1.618878224,124.3895996
283,1.81657249,0.453096426,0.992651456,22.80701481,1.504910716,8.561007729,1.487540209,469.8627067
151,2.83702813,0.606294881,1.340871261,18.38347719,2.584998714,7.180026562,1.974483946,792.5798144
4463,3.306971151,0.975049298,0.875241088,12.71312151,1.028603796,7.116522626,0.92912474,90.82734529
8709,3.454804636,1.099439856,1.994399073,13.15110761,2.073121808,7.116417931,1.391491704,87.73960625
8189,3.175306507,0.736211396,1.189824332,12.8468228,2.105545655,7.1098061,1.191137184,86.07022737
9434,4.344137207,1.192192506,2.103969306,15.27383951,3.138220202,7.108081906,1.208584683,77.40684692
6391,3.954382608,0.846956226,0.945786563,9.707265369,1.886636254,7.077773481,1.407134166,150.4668127
2653,0.721799256,0.199180651,1.38597847,19.93482983,1.587329017,8.489995614,1.010246851,76.15470837
9530,5.310680577,1.825926301,2.601730254,21.48021319,2.819333752,11.85406665,2.936585138,241.5306132
8361,4.785860143,1.558060298,1.579332546,20.33314014,1.665341087,7.035024429,1.081794253,104.7503939
8004,2.336990065,0.505033707,1.52043704,14.85169564,1.980864965,7.001662819,1.636498654,78.36835154
2777,0.874674948,0.371511672,0.759890174,4.950877193,1.28730505,8.469404785,0.708975367,57.33166339
2185,1.616657956,0.60556016,1.135888629,14.20787117,1.563670496,8.342220934,0.704881385,117.3966819
266,1.781184502,0.452835472,0.508131313,14.06099276,1.259385799,8.253288291,1.697074055,154.0971789
3973,1.14873029,0.338699254,0.865671907,7.716872492,1.1847867,8.197093366,0.770741087,75.34442242
2662,1.131828041,0.360954819,0.961626595,14.84697648,1.453420917,8.189836905,0.920880333,98.82281064
4499,4.286918686,2.429905926,1.232803056,20.10630074,1.094478744,6.972049941,1.239109282,117.3345869
4515,2.679768968,0.744823995,0.858142902,13.91270534,2.020998239,6.913769791,1.805905621,104.1916238
